ort;kanton;name;baujahr;konfession;bautypus;architekt;infolink;id
Marly;FR;Chapelle des Pères du St-Sacrement;1959;Römisch-katholisch;Kapelle;Miserez, Hubert;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0500/597_fr_marly_chapelle_des_pres_du_st_sacrement/index_ger.html;597
Le Pâquier;FR;Chapelle;1988;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0500/598_fr_le_pquier_chapelle/index_ger.html;598
Gruyères;FR;Chapelle de l'ancien collège de la Salette de Bouleyres;1955 - 1956;Römisch-katholisch;Kapelle;Bueche, Jeanne;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0500/599_fr_gruyres_chapelle_de_l_ancien_collge_de_la_salette_de_bouleyres/index_ger.html;599
Haut-Intyamon;FR;Chapelle Ste-Marie-Madeleine;1995;Römisch-katholisch;Kapelle;Huber, Christophe;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/600_fr_haut_intyamon_chapelle_ste_marie_madeleine/index_ger.html;600
Vaulruz;FR;Chapelle Notre-Dame de la Verguenaz;1965;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/601_fr_vaulruz_chapelle_notre_dame_de_la_verguenaz/index_ger.html;601
Châtel-Saint-Denis;FR;Chapelle Notre-Dame-et-St-Antoine-l'Ermite;1958;Römisch-katholisch;Kapelle;Perroud, Théodore;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/602_fr_chtel_saint_denis_chapelle_notre_dame_et_st_antoine_l_ermite/index_ger.html;602
Villars-sur-Glâne;FR;Chapelle du noviciat jésuite Notre-Dame-de-la-Route;1957 - 1958;Römisch-katholisch;Kapelle;Galambos, Gyula;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/603_fr_villars_sur_glne_chapelle_du_noviciat_jsuite_notre_dame_de_la_route/index_ger.html;603
Villars-sur-Glâne;FR;Chapelle de l'Hôpital cantonal;1966 - 1975;Römisch-katholisch;Kapelle;"Fietz, H.; Steiger, Rudolf";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/604_fr_villars_sur_glne_chapelle_de_l_hpital_cantonal/index_ger.html;604
Villars-sur-Glâne;FR;Chapelle du séminaire diocésan;1980 - 1981;Römisch-katholisch;Kapelle;Boschetti, Pietro;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/605_fr_villars_sur_glne_chapelle_du_sminaire_diocsan/index_ger.html;605
Matran;FR;Chapelle St-Joseph, Pensionnat St-Joseph;1968;Römisch-katholisch;Kapelle;Jaquet, Virgile;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/606_fr_matran_chapelle_st_joseph_pensionnat_st_joseph/index_ger.html;606
Noréaz;FR;Chapelle de l'Institut du Mont-Carmel;1960 - 1961;Römisch-katholisch;Kapelle;Colliard, Marcel;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/607_fr_noraz_chapelle_de_l_institut_du_mont_carmel/index_ger.html;607
Torny;FR;Chapelle funéraire;2001;Friedhof;Kapelle;Robatel, Brigitte;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/608_fr_torny_chapelle_funraire/index_ger.html;608
Cheiry;FR;Chapelle St-Sylvestre;1966 - 1967;Römisch-katholisch;Kapelle;Dumas, Jacques;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/609_fr_cheiry_chapelle_st_sylvestre/index_ger.html;609
Delley (Delley-Portalban);FR;Chapelle mortuaire;2007;Friedhof;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/610_fr_delley_delley_portalban_chapelle_mortuaire/index_ger.html;610
Pensier (Courtepin);FR;Chapelle St-Antoine-de-Padoue;1953 - 1954;Römisch-katholisch;Kapelle;Zumwald, Wilhelm;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/611_fr_pensier_courtepin_chapelle_st_antoine_de_padoue/index_ger.html;611
Barberêche (Courtepin);FR;Chapelle Notre-Dame-des-Sept-Douleurs;1971;Römisch-katholisch;Kapelle;Waeber, Michel;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/612_fr_barberche_courtepin_chapelle_notre_dame_des_sept_douleurs/index_ger.html;612
Sion;VS;Chapelle du couvent et Institut Ste-Ursule;1957;Römisch-katholisch;Kapelle;Duttweiler, François;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/613_vs_sion_chapelle_du_couvent_et_institut_ste_ursule/index_ger.html;613
Loye (Grône);VS;Chapelle Regina Pacis;1985;Römisch-katholisch;Kapelle;Couturier, Michel;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/614_vs_loye_grne_chapelle_regina_pacis/index_ger.html;614
Grimisuat;VS;Eglise de Champlan;1971;Römisch-katholisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/615_vs_grimisuat_eglise_de_champlan/index_ger.html;615
Granois (Savièse);VS;Chapelle Ste-Trinité;1973;Römisch-katholisch;Kapelle;Chavaz, Denis;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/616_vs_granois_savise_chapelle_ste_trinit/index_ger.html;616
Réchy (Chalais);VS;Chapelle St-Mathias;1958;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/617_vs_rchy_chalais_chapelle_st_mathias/index_ger.html;617
Niouc (Chandolin);VS;Chapelle Sainte Anne;1952 - 1953;Römisch-katholisch;Kapelle;Valentini, Marco;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/618_vs_niouc_chandolin_chapelle_sainte_anne/index_ger.html;618
Corin (Crans-Montana);VS;Chapelle St-Michel;1962 - 1966;Römisch-katholisch;Kapelle;Tronchet, Robert;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/619_vs_corin_crans_montana_chapelle_st_michel/index_ger.html;619
Brignon (Nendaz);VS;Chapelle Notre-Dame-de-l'Espérance;1987;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/620_vs_brignon_nendaz_chapelle_notre_dame_de_l_esprance/index_ger.html;620
Nendaz;VS;St-Barthélémy;1951;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/621_vs_nendaz_st_barthlemy/index_ger.html;621
Dugny (Leytron);VS;Chapelle St-François;1962;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/622_vs_dugny_leytron_chapelle_st_franois/index_ger.html;622
Ovronnaz (Leytron);VS;Marie Mère de Dieu;1974;Römisch-katholisch;Kapelle;Crettenand, Guy;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/623_vs_ovronnaz_leytron_marie_mre_de_dieu/index_ger.html;623
La Fontaine (Martigny-Combe);VS;Chapelle dédiée à la Nativité de la Vierge Marie;1955;Römisch-katholisch;Kapelle;Methey, Léon;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/624_vs_la_fontaine_martigny_combe_chapelle_ddie__la_nativit_de_la_vierge_marie/index_ger.html;624
Bovernier;VS;Chapelle St-François-d'Assise;1981;Römisch-katholisch;Kapelle;Michaud, Marc;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/625_vs_bovernier_chapelle_st_franois_d_assise/index_ger.html;625
Le Levron (Vollèges);VS;Saint-Jean-Baptiste;1958;Römisch-katholisch;Kirche;Zryd, Marius;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/626_vs_le_levron_vollges_saint_jean_baptiste/index_ger.html;626
Verbier (Bagnes);VS;Notre-Dame-des-Ardents;1949 - 1952;Römisch-katholisch;Kapelle;Zimmermann, Charles;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/627_vs_verbier_bagnes_notre_dame_des_ardents/index_ger.html;627
Bruson (Bagnes);VS;Chapelle Notre-Dame-de-Fatima;1965 - 1966;Römisch-katholisch;Kapelle;Max, Gilbert;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/628_vs_bruson_bagnes_chapelle_notre_dame_de_fatima/index_ger.html;628
Montagnier (Bagnes);VS;Chapelle Notre-Dame-de-la-Médaille-Miraculeuse;1961;Römisch-katholisch;Kapelle;Gard, Cyrille;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/629_vs_montagnier_bagnes_chapelle_notre_dame_de_la_mdaille_miraculeuse/index_ger.html;629
Finhaut;VS;Chapelle Ste-Anne;1966;Römisch-katholisch;Kapelle;Michellod, Marcel;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/631_vs_finhaut_chapelle_ste_anne/index_ger.html;631
Finhaut;VS;Chapelle Notre-Dame-des-neiges de La Gueulaz;1975 - 1976;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/632_vs_finhaut_chapelle_notre_dame_des_neiges_de_la_gueulaz/index_ger.html;632
Evionnaz;VS;Chapelle St-Joseph;1977;Römisch-katholisch;Kapelle;Jordan, Robby;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/634_vs_evionnaz_chapelle_st_joseph/index_ger.html;634
Evionnaz;VS;Chapelle de la Vierge;1950;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/635_vs_evionnaz_chapelle_de_la_vierge/index_ger.html;635
Collombey-Muraz;VS;Chapelle St-Bernard-de-Mont-Joux;1965;Römisch-katholisch;Kapelle;"Zimmermann, Jean Marc; Sneiders, Nico";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/636_vs_collombey_muraz_chapelle_st_bernard_de_mont_joux/index_ger.html;636
Fribourg;FR;Maison provinciale des Soeurs de la Charité de la Sainte-Croix d'Ingebohl;1957 - 1959;Römisch-katholisch;Kloster;"Matthey, Marcel; Rosset, Georges";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/638_fr_fribourg_maison_provinciale_des_soeurs_de_la_charit_de_la_sainte_croix_d_ingebohl/index_ger.html;638
Kerzers;FR;Bruder Klaus;1974;Römisch-katholisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/639_fr_kerzers_bruder_klaus/index_ger.html;639
Düdingen;FR;Reformierte Kirche;1999 - 2000;Evangelisch-reformiert;Kirche;Zbinden + Jungi;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/640_fr_duedingen_reformierte_kirche/index_ger.html;640
Varen;VS;Mariä Sieben Schmerzen;1967 - 1969;Römisch-katholisch;Kirche;Feliser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/643_vs_varen_mariae_sieben_schmerzen/index_ger.html;643
Albinen;VS;Bruder Klaus;1958 - 1959;Römisch-katholisch;Kirche;Cachin, Amédée;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/644_vs_albinen_bruder_klaus/index_ger.html;644
Oberems;VS;Mariä Himmelfahrt;1949 - 1950;Römisch-katholisch;Kirche;"Burgener, Marco; Burgener, Donato";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/645_vs_oberems_mariae_himmelfahrt/index_ger.html;645
Hohtenn (Steg-Hohtenn);VS;St. Mauritius;1960 - 1963;Römisch-katholisch;Kirche;Grünwald, Felix;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/646_vs_hohtenn_steg_hohtenn_st_mauritius/index_ger.html;646
Ferden;VS;Dreifaltigkeit;1959 - 1960;Römisch-katholisch;Kirche;Werlen, André;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/647_vs_ferden_dreifaltigkeit/index_ger.html;647
Blatten (Lötschen);VS;Marienkirche;1985;Römisch-katholisch;Kirche;Cachin, Amédée;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/648_vs_blatten_loetschen_marienkirche/index_ger.html;648
Raron;VS;Felsenkirche St. Michael;1972 - 1974;Römisch-katholisch;Kirche;Ruff, Donat;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/649_vs_raron_felsenkirche_st_michael/index_ger.html;649
Visp;VS;Evangelisch-reformierte Kirche;1951;Evangelisch-reformiert;Kirche;Indermühle;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/650_vs_visp_evangelisch_reformierte_kirche/index_ger.html;650
Lalden;VS;St. Josef;1974 - 1976;Römisch-katholisch;Kirche;"Baum, Robert; Zurbriggen, Otto";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/651_vs_lalden_st_josef/index_ger.html;651
Bürchen;VS;Herz Jesu;1959 - 1963;Römisch-katholisch;Kirche;Casetti, David;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/652_vs_buerchen_herz_jesu/index_ger.html;652
Visperterminen;VS;St. Theodul;1962 - 1963;Römisch-katholisch;Kirche;Casetti, David;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/653_vs_visperterminen_st_theodul/index_ger.html;653
Staldenried;VS;Dreifaltigkeit;1959 - 1960;Römisch-katholisch;Kirche;Grünwald, Felix;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/654_vs_staldenried_dreifaltigkeit/index_ger.html;654
Törbel;VS;St. Theodul;1962;Römisch-katholisch;Kirche;Feliser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/655_vs_toerbel_st_theodul/index_ger.html;655
Embd;VS;St. Peter und Paul;1960;Römisch-katholisch;Kirche;Meyer, Leo;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/656_vs_embd_st_peter_und_paul/index_ger.html;656
St. Niklaus;VS;St. Niklaus;1964 - 1965;Römisch-katholisch;Kirche;Casetti, David;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/657_vs_st_niklaus_st_niklaus/index_ger.html;657
Saas-Balen;VS;Zum kostbaren Blut;1956 - 1959;Römisch-katholisch;Kirche;Kopp, Max;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/658_vs_saas_balen_zum_kostbaren_blut/index_ger.html;658
Saas-Fee;VS;Herz Jesu;1962;Römisch-katholisch;Kirche;Casetti, David;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/659_vs_saas_fee_herz_jesu/index_ger.html;659
Brig-Glis;VS;Herz Jesu;1967 - 1970;Römisch-katholisch;Kirche;"Iten, Jean; Iten, Nadine";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/660_vs_brig_glis_herz_jesu/index_ger.html;660
Brig-Glis;VS;Reformierte Kirche;1953;Evangelisch-reformiert;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/661_vs_brig_glis_reformierte_kirche/index_ger.html;661
Mund (Naters);VS;St. Jakob;1962 - 1964;Römisch-katholisch;Kirche;Feliser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/662_vs_mund_naters_st_jakob/index_ger.html;662
Bitsch;VS;Bruder Klaus;1976 - 1977;Römisch-katholisch;Kirche;Bürcher, Albrecht;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/663_vs_bitsch_bruder_klaus/index_ger.html;663
Marly;FR;Oratoire;1995 - 1997;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/664_fr_marly_oratoire/index_ger.html;664
Courtaman (Courtepin);FR;Oratoire Notre-Dame;1963 - 1964;Römisch-katholisch;Kapelle;Oberson, Albert;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/665_fr_courtaman_courtepin_oratoire_notre_dame/index_ger.html;665
Unterems;VS;Kloster Unsere Liebe Frau vom Berge mit Altersheim Emserberg;1978;Römisch-katholisch;Kloster;Sprung, Paul;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/666_vs_unterems_kloster_unsere_liebe_frau_vom_berge_mit_altersheim_emserberg/index_ger.html;666
Düdingen;FR;Totenkapelle;1975;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/667_fr_duedingen_totenkapelle/index_ger.html;667
Düdingen;FR;Judas-Thaddäus-Kapelle;1959 - 1960;Römisch-katholisch;Kapelle;Metzger, Fritz;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/668_fr_duedingen_judas_thaddaeus_kapelle/index_ger.html;668
Schmitten FR;FR;Grabkapelle der Familie Python;1982;Römisch-katholisch;Kapelle;Rhally, Georges;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/669_fr_schmitten_fr_grabkapelle_der_familie_python/index_ger.html;669
Schmitten FR;FR;Friedhofkapelle;1981 - 1982;Friedhof;Kapelle;Schafer, Manfred;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/670_fr_schmitten_fr_friedhofkapelle/index_ger.html;670
Tafers;FR;Bezirksspital, Kapelle;1959;Spital;Kapelle;"Baechler, Otto; Passer, Charles";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/671_fr_tafers_bezirksspital_kapelle/index_ger.html;671
Brünisried;FR;Herz-Jesu-Kapelle;1971;Römisch-katholisch;Kapelle;Baeriswyl, Moritz;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/672_fr_bruenisried_herz_jesu_kapelle/index_ger.html;672
St. Ursen;FR;Marthakapelle;1962;Römisch-katholisch;Kapelle;Lateltin, Jean-Claude;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/673_fr_st_ursen_marthakapelle/index_ger.html;673
Plaffeien;FR;Totenkapelle;1990 - 1991;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/674_fr_plaffeien_totenkapelle/index_ger.html;674
Plaffeien;FR;Primarschulhaus, Josefskapelle;1963;Römisch-katholisch;Kapelle;Schaller, Georges;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/675_fr_plaffeien_primarschulhaus_josefskapelle/index_ger.html;675
Plaffeien;FR;Bruder-Klaus-Kapelle;1963 - 1965;Römisch-katholisch;Kapelle;Schaller, Georges;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/676_fr_plaffeien_bruder_klaus_kapelle/index_ger.html;676
Varen;VS;St. Barbara;1995;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/677_vs_varen_st_barbara/index_ger.html;677
Turtmann;VS;Kapelle Mariä Himmelfahrt;1950;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/678_vs_turtmann_kapelle_mariae_himmelfahrt/index_ger.html;678
Jeizinen (Gampel-Bratsch);VS;Kapelle Mariä Geburt;1965 - 1966;Römisch-katholisch;Kapelle;Werlen, André;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/679_vs_jeizinen_gampel_bratsch_kapelle_mariae_geburt/index_ger.html;679
Wiler (Lötschen);VS;Regina Pacis;1950 - 1957;Römisch-katholisch;Kirche;Schmid, Karl;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/680_vs_wiler_loetschen_regina_pacis/index_ger.html;680
Blatten (Lötschen);VS;Petri Stuhl;1958;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/681_vs_blatten_loetschen_petri_stuhl/index_ger.html;681
Blatten (Lötschen);VS;Hl. Bernhard;1959 - 1960;Römisch-katholisch;Kapelle;Schütz, Josef;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/682_vs_blatten_loetschen_hl_bernhard/index_ger.html;682
Wiler (Lötschen);VS;Bruder-Klaus-Kapelle;2002;Römisch-katholisch;Kapelle;Schnyder, Beat;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/683_vs_wiler_loetschen_bruder_klaus_kapelle/index_ger.html;683
Raron;VS;Agathakapelle;1951;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/684_vs_raron_agathakapelle/index_ger.html;684
Ausserberg;VS;Aufbahrungs- und Marienkapelle;2002;Römisch-katholisch;Kapelle;Bürcher, Albrecht;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/685_vs_ausserberg_aufbahrungs__und_marienkapelle/index_ger.html;685
St. Niklaus;VS;Muttergotteskapelle;1951;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/686_vs_st_niklaus_muttergotteskapelle/index_ger.html;686
Täsch;VS;Fuxstein Kapelle;1991 - 1993;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/687_vs_taesch_fuxstein_kapelle/index_ger.html;687
Zermatt;VS;Bruder-Klaus-Kapelle;1961;Römisch-katholisch;Kapelle;Pfammatter, Ferdinand;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/688_vs_zermatt_bruder_klaus_kapelle/index_ger.html;688
Zermatt;VS;Kapelle Bernhard von Aosta;1950;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/689_vs_zermatt_kapelle_bernhard_von_aosta/index_ger.html;689
Saas Almagell;VS;Annakapelle;1963;Römisch-katholisch;Kapelle;Zurbriggen, Raymond;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/690_vs_saas_almagell_annakapelle/index_ger.html;690
Rosswald (Termen);VS;Kapelle Glimmuschiir;1972;Römisch-katholisch;Kapelle;Bayard, Raoul;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/691_vs_rosswald_termen_kapelle_glimmuschiir/index_ger.html;691
Naters;VS;Kapelle Bruder Klaus;1971 - 1972;Römisch-katholisch;Kapelle;Wirz, Uli;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/692_vs_naters_kapelle_bruder_klaus/index_ger.html;692
Martisberg (Bettmeralp);VS;Kapelle St. Antonius von Padua;1950 - 1951;Römisch-katholisch;Kapelle;"Burgener, Marco; Burgener, Donato";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/693_vs_martisberg_bettmeralp_kapelle_st_antonius_von_padua/index_ger.html;693
Grimselpass (Obergoms);VS;Christophoruskapelle;1961;Römisch-katholisch;Kapelle;Sprung, Paul;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0600/694_vs_grimselpass_obergoms_christophoruskapelle/index_ger.html;694
Buchs AG;AG;Reformierte Kirche;1949 - 1950;Evangelisch-reformiert;Kirche;"Oeschger, Alfred; Oeschger Heinrich";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/828_ag_buchs_ag_reformierte_kirche/index_ger.html;828
Buchs AG;AG;St. Johannes Evangelist;1965 - 1967;Römisch-katholisch;Gemeindezentrum;Brütsch, Hanns A.;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/829_ag_buchs_ag_st_johannes_evangelist/index_ger.html;829
Hunzenschwil;AG;Reformierte Kirche;1959 - 1960;Evangelisch-reformiert;Gemeindezentrum;Zschokke + Riklin;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/830_ag_hunzenschwil_reformierte_kirche/index_ger.html;830
Strengelbach;AG;Reformierte Kirche;1966 - 1968;Evangelisch-reformiert;Gemeindezentrum;"Dubach, Hans; Gloor, Walter";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/831_ag_strengelbach_reformierte_kirche/index_ger.html;831
Murgenthal;AG;Reformierte Kirche;1962 - 1964;Evangelisch-reformiert;Kirche;Huber, Benedikt;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/833_ag_murgenthal_reformierte_kirche/index_ger.html;833
Schöftland;AG;Hl. Familie;1979 - 1980;Römisch-katholisch;Gemeindezentrum;"Studer, Adolf; Moser, Walter";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/834_ag_schoeftland_hl_familie/index_ger.html;834
Muhen;AG;Reformierte Kirche;1955 - 1961;Evangelisch-reformiert;Gemeindezentrum;Hauri, Hans;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/835_ag_muhen_reformierte_kirche/index_ger.html;835
Oberentfelden;AG;St. Martin;1970 - 1971;Römisch-katholisch;Gemeindezentrum;Schnebli, Dolf;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/836_ag_oberentfelden_st_martin/index_ger.html;836
Suhr;AG;Heiliggeist;1959 - 1961;Römisch-katholisch;Kirche;Brütsch, Hanns A.;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/837_ag_suhr_heiliggeist/index_ger.html;837
Unterkulm;AG;Bruder Klaus;1957;Römisch-katholisch;Kirche;"Enzmann, Fritz; Fugazza, Steinmann & Partner";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0800/838_ag_unterkulm_bruder_klaus/index_ger.html;838
