ort;kanton;name;baujahr;konfession;bautypus;architekt;infolink;id
Edlibach (Menzingen);ZG;Lassalle-Haus;1968 - 1970;Römisch-katholisch;Bildungshaus;Studer, André;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1258_zg_edlibach_menzingen_lassalle_haus/index_ger.html;1258
Mettmenstetten;ZH;St. Burkard;1968 - 1969;Römisch-katholisch;Kirche;"Naef, Joachim; Studer, Ernst; et al.";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1259_zh_mettmenstetten_st_burkard/index_ger.html;1259
Wolhusen;LU;St. Anna;1970 - 1971;Römisch-katholisch;Kirche;"Naef, Joachim; Studer, Ernst; et al.";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1260_lu_wolhusen_st_anna/index_ger.html;1260
Sorengo;TI;Clinica Sant'Anna, Kapelle;1964 - 1967;Römisch-katholisch;Kapelle;Tami, Rino;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1261_ti_sorengo_clinica_sant_anna_kapelle/index_ger.html;1261
Winterthur;ZH;St. Ulrich;1970 - 1971;Römisch-katholisch;Kirche;"Tanner, Robert; Lötscher, Felix";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1262_zh_winterthur_st_ulrich/index_ger.html;1262
Seuzach;ZH;St. Martin;1971 - 1972;Römisch-katholisch;Kirche;"Tanner, Robert; Lötscher, Felix";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1263_zh_seuzach_st_martin/index_ger.html;1263
Embrach;ZH;St. Petrus;1979 - 1980;Römisch-katholisch;Kirche;"Tanner, Robert; Lötscher, Felix";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1264_zh_embrach_st_petrus/index_ger.html;1264
Wiesendangen;ZH;St. Stephan;1980 - 1981;Römisch-katholisch;Kirche;"Tanner, Robert; Lötscher, Felix";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1265_zh_wiesendangen_st_stephan/index_ger.html;1265
Bäretswil;ZH;Bruder Klaus;1990;Römisch-katholisch;Kirche;"Tanner, Robert; Lötscher, Felix";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1266_zh_baeretswil_bruder_klaus/index_ger.html;1266
Hölstein;BL;Maria Königin der Engel;1958 - 1966;Römisch-katholisch;Gemeindezentrum;Zwimpfer, Hans;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1268_bl_hoelstein_maria_koenigin_der_engel/index_ger.html;1268
Emmenbrücke (Emmen LU);LU;Bruder Klaus;1969 - 1971;Römisch-katholisch;Gemeindezentrum;Zwimpfer, Hans;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1269_lu_emmenbruecke_emmen_lu_bruder_klaus/index_ger.html;1269
Lugano;TI;San Nicolao della Flue;1949 - 1950;Römisch-katholisch;Kirche;Antonini, Giuseppe;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1270_ti_lugano_san_nicolao_della_flue/index_ger.html;1270
Einsiedeln;SZ;Blau-Ring-Zentrum und Kongregationskirche;1960;Römisch-katholisch;Kirche;Boyer, August;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1272_sz_einsiedeln_blau_ring_zentrum_und_kongregationskirche/index_ger.html;1272
Stalden (Sarnen);OW;Maria Immaculata, Schwendi;1975 - 1976;Römisch-katholisch;Kirche;Dillier, Paul;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1276_ow_stalden_sarnen_maria_immaculata_schwendi/index_ger.html;1276
Horw;LU;Wohnstätte der Schönstatt-Patres;1972 - 1982;Römisch-katholisch;Kapelle;Hohler, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1277_lu_horw_wohnstaette_der_schoenstatt_patres/index_ger.html;1277
Wetzikon;ZH;Heilig Geist;1975;Römisch-katholisch;Kirche;Krieg, Richard;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1278_zh_wetzikon_heilig_geist/index_ger.html;1278
Rüttenen;SO;Kirchenzentrum Rüttenen;1977 - 1979;Ökumenisch;Gemeindezentrum;"Egli, Werner; Obrist, Robert; Rohr, Hans";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1279_so_ruettenen_kirchenzentrum_ruettenen/index_ger.html;1279
Walchwil;ZG;Erholungsheim St. Elisabeth, Hauskapelle;1965;Römisch-katholisch;Kapelle;Schärli, Otto;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1287_zg_walchwil_erholungsheim_st_elisabeth_hauskapelle/index_ger.html;1287
Gossau SG;SG;Pallottinerkapelle;1986 - 1987;Römisch-katholisch;Kapelle;Antoniol, René;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1288_sg_gossau_sg_pallottinerkapelle/index_ger.html;1288
Savognin;GR;Kirchgemeindezentrum;1987 - 1988;Evangelisch-reformiert;Gemeindezentrum;"Ruch, Hans-Jörg; Hüsler, Urs";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1289_gr_savognin_kirchgemeindezentrum/index_ger.html;1289
Ilanz;GR;Spital, Kapelle und Aufbahrungsräume;1988 - 1989;Spital;Kapelle;"Hirschi, Godi; Sigrist, Kurt";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1290_gr_ilanz_spital_kapelle_und_aufbahrungsraeume/index_ger.html;1290
Ramlinsburg;BL;Gotteshaus Ramlinsburg;1987;Evangelisch-reformiert;Kirche;Künzel, August;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1291_bl_ramlinsburg_gotteshaus_ramlinsburg/index_ger.html;1291
Füllinsdorf;BL;Kirche Füllinsdorf;1976;Evangelisch-reformiert;Kirche;Mangold & Erb;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1292_bl_fuellinsdorf_kirche_fuellinsdorf/index_ger.html;1292
Plona (Altstätten);SG;Antoniuskapelle;1955;Römisch-katholisch;Kapelle;"Heeb, Ernst; Heeb, Walter";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1295_sg_plona_altstaetten_antoniuskapelle/index_ger.html;1295
Allschwil;BL;Friedhofkapelle;1955 - 1955;Römisch-katholisch;Kapelle;"Wurster, Walter; Huggel, Hans Ulrich";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1297_bl_allschwil_friedhofkapelle/index_ger.html;1297
Reinach BL;BL;Pfarreizentrum St. Marien;1968;Römisch-katholisch;Gemeindezentrum;Baur, Hanspeter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1298_bl_reinach_bl_pfarreizentrum_st_marien/index_ger.html;1298
Uster;ZH;St. Andreas;1964 - 1966;Römisch-katholisch;Gemeindezentrum;Studer, André;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1300_zh_uster_st_andreas/index_ger.html;1300
Courfaivre;BE;Katholische Pfarrkirche;1954;Römisch-katholisch;Kirche;Bueche, Jeanne;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1302_be_courfaivre_katholische_pfarrkirche/index_ger.html;1302
Luzern;LU;Klinik St. Anna, Kapelle;1957;Römisch-katholisch;Kapelle;Boyer, August;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1307_lu_luzern_klinik_st_anna_kapelle/index_ger.html;1307
Menzingen;ZG;Seminarkapelle Bernarda;1958;Römisch-katholisch;Kapelle;"Brütsch, Hanns A.; Stadler, Alois; et al.";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1308_zg_menzingen_seminarkapelle_bernarda/index_ger.html;1308
Walenstadt;SG;Spitalkapelle;1960;Spital;Kapelle;Glaus, Otto;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1313_sg_walenstadt_spitalkapelle/index_ger.html;1313
Aesch BL;BL;Altersheim St. Josef, Hauskapelle;1962 - 1967;Römisch-katholisch;Kapelle;Baur, Hanspeter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1317_bl_aesch_bl_altersheim_st_josef_hauskapelle/index_ger.html;1317
Altstätten;SG;Spitalkapelle;1966;Spital;Kapelle;"Baerlocher, Felix; Unger, Fred";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1322_sg_altstaetten_spitalkapelle/index_ger.html;1322
Altstätten;SG;Friedhofkapelle;1964;Friedhof;Kapelle;Bayer, Albert;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1323_sg_altstaetten_friedhofkapelle/index_ger.html;1323
Amden;SG;Kurhaus Bergruh, Kapelle Maria Heimsuchung;1967;Römisch-katholisch;Kapelle;Scherrer, Josef Paul;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1324_sg_amden_kurhaus_bergruh_kapelle_maria_heimsuchung/index_ger.html;1324
Arlesheim;BL;Friedhof Bromhübel;1966 - 1970;Friedhof;Friedhof;Baumann, Ernst;;1326
Arosa;GR;Kurhaus Florentinum, Kapelle Maria Verkündigung;1963 - 1965;Römisch-katholisch;Kapelle;Higi, Karl;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1327_gr_arosa_kurhaus_florentinum_kapelle_maria_verkuendigung/index_ger.html;1327
Baden;AG;Friedhof Liebenfels, Abdankungshalle;1964;Friedhof;Kapelle;"Lanners, Ruth; Lanners, Edi";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1329_ag_baden_friedhof_liebenfels_abdankungshalle/index_ger.html;1329
Basel;BS;Katharinenwerk, Kapelle;1964 - 1967;Römisch-katholisch;Kapelle;"Baur, Hermann; Baur, Hanspeter";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1332_bs_basel_katharinenwerk_kapelle/index_ger.html;1332
